"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector"
"Business Analyst","New York, NY","2024-07-30","Scaler","About Us

Scaler helps pave the way for a net-zero carbon future in the real estate market. Our innovative ESG software tools empower investors and fund managers with the insights needed to enhance asset performance and reduce environmental impact.

Role Overview

As a Business Analyst, you will be responsible for evaluating data from various business functions to identify trends, inefficiencies, and opportunities for optimization. You will create and refine financial models to support budgeting, forecasting, and strategic planning. You will provide insights and recommendations based on data and financial analyses to guide business strategy and decision-making.

Responsibilities:


 * Evaluate data from various business functions to identify trends, inefficiencies, and opportunities for optimization.
 * Create and refine financial models to support budgeting, forecasting, and strategic planning across departments.
 * Provide insights and recommendations based on data and financial analyses to guide business strategy and decision-making.
 * Review and analyze operational processes to identify areas for improvement and enhance overall efficiency.
 * Analyze potential investments and business initiatives, using financial metrics and data to assess their feasibility and impact.
 * Develop comprehensive reports that integrate business and financial data, providing clear insights to stakeholders and leadership.
 * Develop and track key performance indicators that measure the effectiveness of various business functions and financial performance.
   
   

Requirements:


 * Bachelor’s degree in Business Administration, Finance, Economics, or a related field.
 * Minimum 3 years of experience in finance, business operations, or related role preferably within a tech startup or fast-paced environment.
 * Proven ability to analyze complex data sets and build actionable insights that drive business and financial strategies.
 * Experience with SQL and Python for advanced data manipulation, statistical analysis, and building financial models.
 * Proactive approach to identifying data-related problems and developing innovative solutions that enhance business performance and financial outcomes
 * Strong proficiency in presenting data findings and financial insights clearly and effectively to stakeholders through written reports and verbal presentations.
 * Ability to adapt and thrive in a dynamic environment, utilizing data to navigate and respond to rapidly changing business conditions.
   
   

Benefits


 * Top of market salary and a generous equity stake in the company
 * 25 paid vacation days per year, but opportunity for more if needed
 * We offer a hybrid work policy: 2 days working from home and 3 days in-office each week
 * Four months parental leave
 * Annual personal development budget
 * We are a global company that meets in person at least once a year
   
   

Why Scaler?

When you join Scaler, you will collaborate with a team of curious, sharp, supportive, and genuinely enthusiastic individuals about Scaler's product and unique value. Our people are committed to making a positive impact on our customers' journey to achieving absolute zero carbon.

Compensation Range: $80K - $160K","116 applicants","Full-time","Mid-Senior level","Research, Analyst, and Information Technology","Software Development"
"Business Analyst 4","Columbus, OH","2024-05-20","Anveta, Inc","Hi Team,

Business Analyst 4

Location : Columbus OH 43215 , (Hybrid)

Duration: 6+ Months

Job Description


 * Years of Relevant Experience: 10 to 14 years
 * Preferred Education: 4-year college degree or equivalent and IIBA-certified Business Analyst.
 * Experience conducting and facilitating Workshops for requirements analysis using different techniques and frameworks like waterfall, agile or hybrid.
 * Experience creating workflows using formal notation such as the Business Process Modeling Notation (BPMN).
 * Knowledge of formal requirements gathering methodologies.
 * Experience developing Business Requirements - project initiation document, what the needed achievements will be, and the quality measures.
 * Experience developing Functional requirements - describe what the system, process, or product/service must do in order to fulfill the business requirements.
 * Experience developing User (stakeholder) requirements - are a very important part of the deliverables, the needs of the stakeholders will have to be correctly interpreted. This deliverable can also reflect how the product will be designed, developed, and define how test cases must be formulated.
 * Experience developing Quality-of-service (non-functional) requirements - are requirements that do not perform a specific function for the business requirement but are needed to support the functionality. For example: performance, scalability, quality of service (QoS), security and usability.
 * Experience developing Report Specifications - define the purpose of a report, its justification, attributes and columns, owners and runtime parameters.
 * Experience developing Requirements Traceability Matrix - a cross matrix for recording the requirements through each stage of the requirements gathering process.
 * Strong organization and writing skills. Experienced developing graphic representations of complex business processes
 * Proven experience with a technical specialty across large and complex implementations of systems.
 * IIBA Certification
 * Agile framework and project management concepts
 * Scrum Master Certification, ITIL 4 certification
   
   

Please Share the Profile to priya@anveta.com or reach me at 469-813-9027","109 applicants","Contract","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","United States","2024-04-23","Donato Technologies, Inc.","Position will be remote. Program will allow candidates who are within the state (Any location within the State of Texas).

Clinet requires the services of 1 Systems Analyst 3, hereafter referred to as Candidate(s), who meets the general qualifications of Systems Analyst 3, Applications/Software Development and the specifications outlined in this document for the Clinet

All work products resulting from the project shall be considered ""works made for hire"" and are the property of the Clinet and may include pre-selection requirements that potential Vendors (and their Candidates) submit to and satisfy criminal background checks as authorized by Texas law. Clinet will pay no fees for interviews or discussions, which occur during the process of selecting a Candidate(s).

Level Description

8 or more years of experience, relies on experience and judgment to plan and accomplish goals, independently performs a variety of complicated tasks, a wide degree of creativity and latitude is expected.

Job Description

Understands business objectives and problems, identifies alternative solutions, performs studies and cost/benefit analysis of alternatives. Analyzes user requirements, procedures, and problems to automate processing or to improve existing computer system: Confers with personnel of organizational units involved to analyze current operational procedures, identify problems, and learn specific input and output requirements, such as forms of data input, how data is to be; summarized, and formats for reports. Writes detailed description of user needs, program functions, and steps required to develop or modify computer program. Reviews computer system capabilities, specifications, and scheduling limitations to determine if requested program or program change is possible within existing system.

Additional Job Details And Special Considerations

Texas Health and Human Services Commission requires the services of a PeopleSoft Financials Business Analyst. This PeopleSoft FSCM 9.2 business analyst role is ideal for a candidate with a strong business analyst background and deep understanding of business processes. Prior experience in a techno-functional role is not required, and a focus on business acumen is preferred. The Business Analyst will be part of a dedicated CAPPS Financials upgrade project team.

The Business Analyst must have a solid understanding of both the PeopleSoft General Ledger and Commitment Accounting modules and fund accounting in government. In addition, they must be able to serve as a backup on one or more of the Accounts Payable, Purchasing, or Asset Management modules.

The core duties include requirement analysis, conducting review meetings with subject matter experts (SMEs), documenting complex system requirements, processes, test scenarios, test scripts, and training, performing hands-on testing, and supporting multiple test cycles.

Must demonstrate and excel in communicating and working with a diverse team with collaboration tools competently in a remote work environment. Also, must be able to estimate work, set deadlines, and communicate effectively.

Work Hours: Monday – Friday 8:00 AM – 5:00 PM Central

Minimum Requirements

II. CANDIDATE SKILLS AND QUALIFICATIONS

Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity. Years Required/Preferred Experience 8 Required Experience as a Business Analyst on PeopleSoft Financials and Supply Chain Management (FSCM) on implementation or upgrade projects 8 Required Experience as a Business Analyst with PeopleSoft FSCM 9.2 General Ledger and Commitment Accounting. 8 Required Experience as a Business Analyst in identifying requirements and creating formal functional documents for key business stakeholders and SMEs 8 Required Experience as a Business Analyst in conducting formal work sessions and functional analysis presentations 8 Required Experience in performing hands-on end-to-end system integration and external interface testing 8 Required (at least 4) Experience with Microsoft O365 applications (Word, Excel, PowerPoint, Visio) 8 Required (at least 2) Experience with MS Team and Channel communication with a large team 4 Preferred (at least 2) Experience with MS Team and Channel communication with a large team 2 Preferred Experience working with the Comptroller of Public Accounts (CPA) CAPPS Financials 2 Preferred Experience with PeopleSoft FSCM 9.2 eProcurement, Strategic Sourcing, Supplier Contracts 2 Preferred Experience with PeopleSoft Approval Workflow Engine (AWE) 2 Preferred Experience with SharePoint 1 Preferred Experience with Jira 1 Preferred Experience working with the Scrum framework 1 Preferred Experience with STAT","Over 200 applicants","Full-time","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","San Francisco, CA","2024-09-06","Simplified IT Solutions","Company Description

Simplified IT is a global IT Staffing and Managed Services company. We have been rated top 10 staffing companies in the country for 3 years in a row.We serve technology, financial, auto, logistics & distribution companies across the United States, providing either IT staffing or technology solutions — or both. With decades of experience and a nationwide network of highly qualified, certified IT professionals, our goal is to build a lasting relationship with each client based on trust and consistent, reliable services.

Job Description

Job Requirements


 * SAP Functional expertise
 * Above average SQL experience
 * Understanding of data engineering concepts - the data ingestion / data pipelines, ETL
 * Previous working experience as a Business Analyst
 * BS in Computer Science, Engineering or similar relevant field or technical background
 * In-depth knowledge of Agile process and principles
 * Outstanding communication, presentation, and leadership skills
 * Excellent organizational and time management skills
 * Sharp analytical and problem-solving skills
   
   

Job Responsibilities


 * Demonstrate outstanding proficiency in documentation
 * Provide vision and direction to the Agile development team and stakeholders
 * Prioritize needs among scope, budget, and timeframe
 * Oversee all stages of product development including planning, refinement, review,and sprint
 * Ensure that the team always has an adequate amount of prepared tasks to work on
 * Plan and prioritize product feature backlog and development for the product
 * Define product vision, road-map and growth opportunities
 * Assess value, develop cases, and prioritize stories, epics and themes to ensure workfocuses on those with maximum value that are aligned with product strategy
 * Provide backlog management, iteration planning, and elaboration of the user stories
 * Work closely with Product Management to create and maintain a product backlogaccording to business value or ROI
 * Lead the planning product release plans and set expectation for delivery of newfunctionalities
 * Act as primary liaison between teams and stakeholders
 * Provide an active role in mitigating impediments impacting successful teamcompletion of Release/Sprint Goals
 * Research and analyze market, the users, and the roadmap for the product
 * Anticipate user needs
 * Develop user stories and define acceptance criteria
 * Analyze preferences and requests of end users then translate into future iterations
 * Follow our competitors and the industry
 * Ensure product aligns with company mission and goals
 * Keep abreast with Agile/Scrum best practices and new trends
 * Ensure security of data with proper Agile framework
 * Evaluate product progress at each iteration
 * Plan/schedule-timeline for benchmarks, releases, and future upgrades
 * Establish initiatives and align with cross-functional goals
 * Prioritize defect resolution (bugs)
   
   

Additional Information

All your information will be kept confidential according to EEO guidelines.","168 applicants","Contract","Mid-Senior level","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Senior Business Analyst","Boston, MA","2024-06-27","Accroid Inc","Qualifications


 * Experience: 4+ years of relevant experience working in technology as Business Analyst.
 * BS/MS or a 4-year degree in a related field is preferred, although candidates with more than 10 years of BA experience may substitute experience for this requirement.
 * Business Analysis Skills: Deep understanding of business processes, requirements gathering, and documentation is essential. Senior BAs should be skilled in conducting stakeholder interviews, facilitating workshops, and translating business needs into technical requirements.
 * Communication Skills: Strong verbal and written communication skills are necessary for effectively conveying complex technical concepts to non-technical stakeholders (and vice versa) and collaborating with cross-functional teams.
 * Problem-solving Abilities: Senior BAs should be adept at identifying and solving business problems using analytical thinking and critical reasoning. They should be able to propose innovative solutions that align with both business objectives and technical constraints.
 * Business Process Improvement Skills: Proven skills in breaking down and optimizing complex business processes.
 * Proven experience leading and documenting requirements-gathering sessions and developing user stories.
 * Strong working knowledge of software development, Waterfall and Agile (Scrum, Kanban) methodologies.
 * Demonstrated ability to prepare User Stories, Process Flows, BRDs, FRDs, Use Cases and Data Mapping documents.
 * Must be able to prepare acceptance test plans, test cases, and QA processes and work directly with end-users to ensure that application functionality meets requirements.
 * Experience with Jira is preferred. Experience with Smartsheet is a plus.
 * Certifications: While not mandatory, certifications such as Certified Business Analysis Professional (CBAP) or Professional Scrum Product Owner (PSPO) are a plus.","38 applicants","Contract","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","United States","2024-08-15","Insight Global","Position: Business Analyst

Location: Remote

Pay: 75-90/hr

Duration: long-term contract

Interview Process: one & done 30–45-minute interview, potential SQL assessment in interview

Shift: 9-5pm (ET time zone)

Musts:

 * At least 4+ years of Business Analysis experience
 * ADVANCED/EXPERT level SQL skills - writing complex queries from scratch (MS SQL Server)
 * Data analysis experience
 * Strong communication and problem solving skills
 * Bachelor’s Degree
 * Prior experience working at a financial institution/bank (knowledgeable about general financial terminology)







Plusses:

 * Regulatory reporting knowledge (Canada reporting – EB/ET-2A, H4, I3, GL based reports)
 * Axiom knowledge



Responsibilities:

Insight Global is seeking a strong Business Analyst to join our Banking client’s organization. This individual will work within the client’s Finance, dealing with Canadian regulatory reporting data (EB/ET-2A, H4, I3, GL based reports, etc.). The bank is looking for a candidate with advanced level SQL skills (MS SQL Server) and experience writing/understanding very complex queries. The Business Analyst will need to provide requirements so they can configure the data. The bank is replacing some existing systems so there are some existing documented requirements, but they are not sure if it is 100% accurate. The BA will use the documented requirements they currently have and use MS SQL to calculate the values. They will get the raw data from technology, use SQL to populate additional data, and then match the calculations with the expected results. If the data is not matching, they will need to use problem solving skills to dig into it. We are looking for candidates with a business analysis background, strong SQL skills, and knowledge of regulatory reporting.




Exact compensation may vary based on several factors, including skills, experience, and education. Benefit packages for this role will start on the 31st day of employment and include medical, dental, and vision insurance, as well as HSA, FSA, and DCFSA account options, and 401k retirement account access with employer matching. Employees in this role are also entitled to paid sick leave and/or other paid time off as provided by applicable law.","Over 200 applicants","Contract","Mid-Senior level","Finance","Banking and Investment Banking"
"Business Analyst","Vienna, VA","2024-08-06","Savan","Savan is looking for a skilled Business Analyst who can bridge the gap between business needs and technical solutions. The ideal candidate will have a strong background in data analysis, technical writing, experience with reporting tools such as Oracle OAS/OBIEE or Tableau, and knowledge of data warehousing concepts.

Role Responsibilities


 * Collaborate with business stakeholders to gather and analyze requirements for data and reporting needs.
 * Develop detailed business and technical documentation, including requirements, specifications, and user guides.
 * Translate complex technical information into clear, concise, and easy-to-understand documentation for various audiences.
 * Ensure data accuracy and integrity by validating reports and dashboards against source systems.
 * Conduct training sessions and provide support to end-users on the use of reports and dashboards.
 * Stay updated with industry trends and best practices in data analysis, technical writing, and reporting.
   
   

Qualifications and Requirements


 * Bachelor’s degree in computer science, information systems, business administration, or a related field.
 * 0-3 years of professional experience
 * Proven experience as a Business Analyst or in a similar role.
 * Exceptional written and verbal communication skills.
 * Understanding of reporting systems and technologies
 * Excellent analytical, problem-solving, and critical-thinking skills.
 * Strong attention to detail and ability to work independently and collaboratively.
 * U.S. Citizenship.
 * U.S. Government Public Trust or the ability to obtain a Public Trust.
   
   

Preferred Qualifications


 * Experience, relevant coursework, or Oracle OAS/OBIEE or Tableau certification.
 * Knowledge of data warehousing concepts and ETL processes.
 * Familiarity with data governance and security best practices.
 * Experience in project administration or agile methodologies.
   
   

Work Location & Schedule:

Remote OR Hybrid Schedule (Savan HQ, Vienna, VA )

Application Process

Submit your application to the link on this page. Applicants selected for interviews will be notified by email or phone.

Compensation

Savan believes in offering fair and competitive compensation to all employees. Our salary structures are based on industry standards, market conditions, and the specific demands of each role. Salary determination for potential new employees is influenced by a combination of factors, including years of experience, educational qualifications, specialized skills and expertise relevant to the job, complexity, and scope of the role's responsibilities, internal salary structures, as well as the geographic location of the job. Salary history will not be used in compensation decisions.

EEO, including disability and veterans.

Savan is an Equal Opportunity Employer and is committed to a workplace free of discrimination. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), gender identity, sexual orientation, national origin, age (40 or older), marital status, disability, genetic information, status as a protected veteran, or any other applicable legally protected characteristics.

If you are an individual with a disability and would like to request reasonable accommodation for the employment process, please email your request to","192 applicants","Full-time","Mid-Senior level","Research, Analyst, and Information Technology","Business Consulting and Services"
"Business Analyst","United States","2024-04-03","Accroid Inc","Responsibilities


 * Collaborate with stakeholders to determine project scope and vision.
 * Elicit, analyze, specify, and validate the business needs of stakeholders.
 * Clearly identify project stakeholders and establishes customer classes, as well as their characteristics.
 * Identify and establish scope and parameters of requirements analysis on a project-by-project basis to define project impact, outcome criteria, and metrics.
 * Work with stakeholders and project team to prioritize collected requirements.
 * Translate conceptual customer requirements into functional requirements in a clear manner that is comprehensible to developers/project team.
 * Create process models, specifications, diagrams, and charts to provide direction to developers and/or the project team.
 * Collaborate with other team members to find the best solutions for our clients
 * Commitment to ongoing learning and professional development
   
   

Required Qualifications


 * 5+ years’ experience as a Business Analyst
 * 5+ years’ experience following system development lifecycles (SDLC)
 * 5+ years’ experience with working directly with end users in a production support environment.
 * 3+ years’ expertise with complex process and systems requirement documentation standards, such as requirement traceability matrixes, as-is and to-be diagrams, Use Case modeling, User Story creations and narrative description.
 * 2+ years’ experience with process analysis; systems analysis; process architectures and systems analysis methodologies; and project management methodologies including both Waterfall and Agile.
 * Bachelor’s degree in computer science, Information Technology, or related field.
   
   

Desired Qualifications


 * 3 years’ experience developing training plans and training end users of all levels
 * 2 years’ experience working in the Public Sector
 * 2 years’ experience facilitating joint application design (JAD) and/or collaborative design sessions.
 * 2 years’ experience using SQL or other query tools to perform analysis
 * 2 years’ experience working with PAL (project approval lifecycle) processes and documentation.","Over 200 applicants","Contract","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","New York, NY","2024-08-15","CGS Federal (Contact Government Services)","Employment Type: Full-Time, Experienced

Department: Information Technology

CGS is looking for business analysts to work with a large federal agency! As a Business Analyst in Business operations and Content Strategy for CGS, you will partner with internal business owners and external partners to understand new business opportunities and define functional requirements.

CGS brings motivated, highly skilled, and creative people together to solve the government’s most dynamic problems with cutting-edge technology. To carry out our mission, we are seeking candidates who are excited to contribute to government innovation, appreciate collaboration, and can anticipate the needs of others. Here at CGS, we offer an environment in which our employees feel supported, and we encourage professional growth through various learning opportunities.

Skills and attributes for success:


 * Support the development of briefings, agendas, and other general documentation support as directed, including training material and demonstration sessions for new and existing technologies to various stakeholders
 * Document and analyze business and functional requirements so that they may be accurately translated into process maps and technical system requirements
 * Develop comprehensive documentation that meets organizational standards, to include but not limited to basic system architectural diagrams/wireframes, concepts of operations, monthly status reports
 * Create high-level briefings and communications materials for customers, management, and executive stakeholders
 * Work with the government and team members to identify, recommend, and implement opportunities for service delivery improvement and new technology implementation
 * Evaluate program materials and develop innovative approaches for improvement
 * Independently gather information from subject matter experts to develop, organize, and write procedure manuals, technical specifications, and process documentation
 * Develop and implement a deep understanding of Microsoft and Atlassian products and services (Teams, SharePoint, Visio, Jira, Confluence) to translate complex product information into simple, polished, and engaging content
 * Research, outline, write, and edit new and existing content, working closely with various team members to understand project requirements
 * Develop content in various media forms for maximum usability, with a consistent and cohesive voice across all documentation
 * Perform risk management, including identifying, prioritizing, and mitigating risks, and communicating and escalating risks and issues
 * Support a continuous improvement process by providing recommendations on improving products, services, and processes
 * Manage client interaction and expectations regarding team efforts
 * Identify and coordinate cross-team dependencies and collaboration
 * Continually seek opportunities to increase customer satisfaction, develop and deepen long-lasting client relationships
   
   
   

Qualifications:


 * Must be a U.S. Citizen
 * Bachelor's Degree (Computer Science, or engineering)
 * Must be able to successfully complete a stringent Background Investigation and obtain required Government Security clearance
 * 7+ years of experience in business analysis, systems analysis, and/or design of information systems programs and related business processes
 * Experience working with phase-based and Agile delivery methods
 * Experience with Jira or other Agile tools
 * Ability to clearly communicate technical concepts to both technical and non-technical users
 * Must be able to work well both in a team environment and independently
 * Must possess exceptional attention to detail
 * Excellent interpersonal and communication skills
 * Familiarity with government projects and policy/procedures teams
 * Demonstrates ability to interact comfortably with Senior Leadership and/or Government Executives and staff on a day-to-day basis
 * Experience in managing client requirements and small teams
 * Excellent analytical skills and business presentation skills
   
   
   

Ideally, you will also have:


 * Experience supporting DHS HQ or other US Federal Agencies
 * Experience tracking and reporting project or program delivery progress and budget execution
 * Experience developing project briefs and reports for non-technical audiences
 * Knowledge of the federal acquisition lifecycle
 * Familiarity with Business Intelligence and Data Analytics
 * Project Management, Agile, and/or Cyber Certifications (PMP / ACP / CSM / SAFe / CISM)
   
   
   

Our Commitment:

Contact Government Services (CGS) strives to simplify and enhance government bureaucracy through the optimization of human, technical, and financial resources. We combine cutting-edge technology with world-class personnel to deliver customized solutions that fit our client’s specific needs. We are committed to solving the most challenging and dynamic problems.

For the past seven years, we’ve been growing our government contracting portfolio, and along the way, we’ve created valuable partnerships by demonstrating a commitment to honesty, professionalism, and quality work.

Here at CGS we value honesty through hard work and self-awareness, professionalism in all we do, and to deliver the best quality to our consumers mending those relations for years to come.

We care about our employees. Therefore, we offer a comprehensive benefits package.


 * Health, Dental, and Vision
 * Life Insurance
 * 401k
 * Flexible Spending Account (Health, Dependent Care, and Commuter)
 * Paid Time Off and Observance of State/Federal Holidays
   
   
   

Contact Government Services, LLC is an Equal Opportunity Employer. Applicants will be considered without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Join our team and become part of government innovation!

Explore additional job opportunities with CGS on our Job Board:

https://cgsfederal.com/join-our-team/

For more information about CGS please visit: https://www.cgsfederal.com or contact:

Email: info@cgsfederal.com","28 applicants","Contract","Not Applicable","Research, Analyst, and Information Technology","Government Relations Services"
"Business Analyst","Chicago, IL","2024-07-21","Supernova Technology™","About Us
Founded in 2014, we offer the industry’s first and only cloud-based, fully-customizable, end-to-end software solution to automate securities-based lending from origination through the life of the loan. By combining thought leadership in suitability and risk management with industry-leading education and the latest technology, Supernova enables advisors to deliver holistic, goals-based advice and to help their clients achieve financial wellness. We partner with the industry’s largest banks, most prominent insurance companies and leading online brokerages to democratize access to securities-based lending and better the entire financial ecosystem.

Job Description
We are looking for a business analyst to support project managers on securities-based lending system development. The goal is to ensure that the projects are implemented successfully in all aspects and delivered timely with high quality.

RESPONSIBILITIES:



 * Negotiate with clients on product requirements & development scale
 * Work closely with the development team on product logic and features
 * Manage the schedule of development projects with JIRA to ensure timely release of the product
 * Design product prototypes based on product requirements and present to clients
 * Generate supporting documents to accompany product changes
 * Provide quality assurance support for products in testing environments and troubleshoot system bugs
 * Give periodic technology product demonstrations to sales, marketing and operations teams as internal training
   
   
   
   
   

QUALIFICATIONS:



 * Bachelor’s or Master's Degree in finance, project management or technology related fields
 * At least 1 year experience in Business Analytics or related field
 * Highly analytical and quantitative thinking
 * Strong written and verbal communication skills
 * Self-starter with high level of motivation
 * Receptive to coaching and adaptive to change
 * Exceptional time management and follow-up skills
 * Team-oriented
 * Proficient in MS Office Suite, especially Microsoft Excel and Microsoft PowerPoint
 * Experience in data interpretation preferred
 * Experience in project management preferred
 * Experience in financial services, wealth management, or education industries preferred
   
   
   
   
   

OUR CORE VALUES

At Supernova, we...



 * Form, execute, and communicate new ideas that add value to our employees and customers
 * Strive through obstacles and failures
 * Follow-through on promises or commitments to others, accept responsibility, and answer for actions & decisions
 * Listen to, understand, and support our employees and customers
 * Act with speed, positive attitude, and flexibility
 * Exceed expectations and surpass ourselves every day; we embrace a sense of pride and never stop growing
   
   
   
   ","33 applicants","Full-time","Associate","Research, Analyst, and Information Technology","Transportation, Logistics, Supply Chain and Storage"
"Business Analyst","Houston, TX","2024-04-20","Syntricate Technologies","Required Skills

Required Skills:


 * 2-5 IT and/or business experience, or any equivalent combination of experience, education, and/or training
 * Communication Skills - The ability to communicate verbally and in writing with all levels of employees and management, capable of successful formal and informal communication, speaks and writes clearly and understandably at the right level
 * Integrity and Trust - Involves being widely trusted, being seen as a direct, truthful individual, can present the unvarnished truth in an appropriate and helpful manner, keeps confidences, admits mistakes, and doesn't misrepresent him/herself for personal gain
 * Teamwork - Involves working well in a collaborative setting, supporting work team by volunteering for and completing assignments, acting as a positive team member by contributing to discussions, developing and maintaining both formal and informal relationships enterprise-wide, defines success in terms of the entire team through mentoring and knowledge transfer
 * Technical Expertise - Involves demonstrating a commitment to increasing knowledge and skills in current technical/functional area, keeping up to date on technical developments, staying informed as to industry practices, knowing how to apply relevant technical processes to appropriate business needs
 * Successful completion of interview required to meet job qualification
 * Reliable, punctual attendance is an essential function of the position
 * Qualification: Bachelor's Degree in Computer Science, Information Systems, or Business Administration","168 applicants","Contract","Entry level","Research, Analyst, and Information Technology","Information Technology & Services"
"Business Analyst","Texas, United States","2024-08-15","Compunnel Inc.","Technical Business Analyst




Client: Chevron

Location: 4800 Fournace Pl Bellaire TX 77401 United States (Must work in a Chevron office 2 days)




Qualifications:

 * Cority Experience
 * PowerBI and Power Apps experience
 * Experience configuring EHS&S with Environmental, Health, Safety, and Sustainability software solutions





Position Summary

Required Experience/Skills:

 * SME Cority EMS / Enviance software implementation
 * Scope of work/project context: Cority acquired Enviance and now they’re doing the integration.




Qualifications & Experience:

 * 3-5 years of experience working within and configuring EHS&S with Environmental, Health, Safety and Sustainability software solutions including Cority/Enviance and/or Sphera.
 * Experience with some of the following domains: air emissions, greenhouse gas emissions, environment, health and safety, sustainability
 * Ability to work independently and as part of a team in a fast-paced environment.
 * Problem-solving skills and a strong analytical mind.
 * Background in PowerBI and PowerApps is a plus




Functional Skills:

 * Communication
 * Participate in daily standups.
 * Demonstrate diligence.
 * Execute precise work.

","Over 200 applicants","Contract","Mid-Senior level","Engineering","IT Services and IT Consulting"
"Business Analyst","Boston, MA","2024-09-06","Equiliem","The Business Analyst will be responsible for translating business and technical requirements into test plans and support documentation. Additionally, the BA will ensure scope and requirements of projects are met through quality assurance testing, user acceptance testing, and production implementation. The BA will conduct research to determine the state of solutions able to meet the business requirements—within or outside the current infrastructures and determine the feasibility of said solutions. The ideal candidate must demonstrate creativity, a keen problem-solving ability along with proven leadership, collaboration and facilitation skills.




Responsibilities

 * Collaborate cross functionally with various groups: business owners, end users, subject matter experts, etc.
 * Gather business requirements through a variety of techniques (e.g., work sessions and interviews)
 * Identify, assess, and document business requirements
 * Recommend business priorities and advise business on options, risks, and costs
 * Develop / participate in training sessions, demos, and documentation of meeting outcomes through peer review, validation, or submission
 * Develop technical standards/ policies to meet the needs of customers; ensure systems analysis procedures and practices are identified and implemented
 * Participate in daily stand-ups, planning and retrospective meetings
 * Write use cases, business rules, and other artifacts to articulate/ represent business processes, desired outcomes, and requirements
 * Evaluate information gathered from multiple sources; reconcile conflicts and creatively develop new solutions for existing problems, break down high level information into details and distinguish user requests from the underlying true needs
 * Document business, application, and system scenarios for identifying the stakeholders impacted or proposed solutions, while adhering to proper change management procedures

Qualifications

 * 3+ years of experience working in a business analyst capacity including direct experience with business analysis tools and techniques (Public sector experience preferred)
 * Proficiency with Salesforce, including system configuration, administration, and reporting (Government Cloud experience a plus)
 * Strong analytical, problem-solving, and communication skills
 * Ability to work collaboratively in a cross-functional team environment
 * Excellent verbal and written communication skills with project teams and business teams
 * Team-oriented attitude and the proven ability to collaborate at all levels of an organization







Desired Skills/Experience:

 * Knowledge of housing and homelessness prevention programs is a plus
 * Experience with Snowflake and Tableau
 * Familiarity with a variety of software development methodologies such as agile, waterfall, and a strong understanding of the suitability of these methodologies for certain development environments and types of applications
 * Experience with advanced Microsoft Office, pivot tables, charts, Visio, data analytics and JIRA or other project management tools
 * Experience with SQL a plus

","Over 200 applicants","Contract","Mid-Senior level","Information Technology and Project Management","Staffing and Recruiting"
"Business Analyst","Richmond, VA","2024-03-18","Dizer Corp","We are seeking a Business Analyst for one of our clients, 1300 E Main St Richmond, VA 23219

Please share the updated resume to srinath@dizercorp.com

Job Title: Business Analyst

Location: 1300 E Main St Richmond, VA 23219

Duration: 6 months

Work Arrangement : Hybrid

Interview Type : Web Cam Interview Only

About The Role


 * local candidates required due to onsite requirement
 * Candidate selected MUST work onsite 3 days every week, NO exceptions.
   
   

The Data Conversion Specialist will be responsible for converting existing PDF documents for accessibility compliance with SEC 508 of the Rehabilitation Act. Create web content pages and ensuring converted documents maintain the integrity and formatting of the original PDFs. This role requires a keen eye for detail, excellent technical skills, and the ability to meet deadlines. Proficiency in HTML is a plus.

The Specialist will use the accessibility tool and action wizard tool within Adobe to create accessible and complian tPDFs. In doing so, the Specialist will need to identify form fields, set alternate text, tag text that has not been auto detected and organize the reading order and HTML structure.

Regards,

Srinath K(Sri)

Team Lead(BDM)

Direct: 216-452-9194

E mail: srinath@dizercorp.com

","127 applicants","Contract","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
